"","compartment","symbol","p","FDR","FDR < 0.05"
"1","Cytoplasm","GOLGA2,AP1G1,AP1S1,EGFR,MTOR,GOLGA3,LMAN1,NUMA1,PI4KB,ROCK1,CUL3,GBF1,AP1S2,VAPB,PDCD6,DNM1L,HUWE1,COG5,ARFGEF2,ARFGEF1,TMED10,CHP1,COPZ1,COPG1,SCFD1,COG4,COPG2,TRAPPC3,CHPF2,TMED9,SAR1A,COG6,ARHGAP21,COG3,COG7,TRAPPC5,EXOC5,EXOC3,EXOC7,EXOC6,EXOC8,EXOSC3,ATP6AP2,SNF8,PSMC3,TOP1,SYNE1,VPS51,VPS53,MTX1,IMMT,RACGAP1,MALT1,MCCC1,ACO1,AGL,AK1,AK4,ANXA4,ANXA5,ANXA6,ARHGAP1,ZFHX3,BYSL,CDK2,CFL1,CFL2,CHEK1,CLIC1,CSE1L,CSNK1G3,DAPK1,DBT,DCTN1,CYB5R3,DIAPH1,DSP,DTYMK,EIF2D,EIF2B1,ERCC2,FARSA,FER,FH,GLE1,GSTT1,GTF2I,GYS1,HTT,HDLBP,HSP90AB1,DNAJB1,IKBKB,EIF3E,KIF2A,KPNB1,TNPO1,LYN,MYH9,MYH10,MYO6,HNRNPM,OAT,OPA1,PC,PCM1,PFKP,PHB,SERPINB5,PLEC,PLS1,PPL,PPP2R5E,PSMA1,PSMA5,PSMA7,PSMC5,PSMD12,PTGS2,PYGB,PYGL,RFC1,RPLP0,RPS6KA1,RPS6KA3,RPS9,RREB1,SNX1,SNX2,SPTBN1,SRP14,STAT1,STRN,TBP,UBE2I,UCK2,UTRN,VIM,SYMPK,PNPLA4,UXT,STK24,EIF3A,SNX4,MTMR1,IQGAP1,EIF2B2,EIF2B5,FUBP3,RPS6KA4,GRHPR,QKI,NPEPPS,EEF1E1,VPS4B,BAG5,PRDX6,AKAP12,PDE4DIP,SAFB2,BZW1,SART3,CKAP5,NCAPD2,THOC1,UBA2,DPP3,EIF1,UBE4B,MAEA,TUBB4B,LYPLA1,MYBBP1A,DDX17,SLU7,TRAPPC2B,GNA13,NES,PRDX3,NUDT21,OGFR,KRR1,GLMN,PKP3,DUSP12,PARK7,ECD,DHX30,CLASP2,TTLL12,MTCL1,KIF13B,SIN3B,ARHGEF12,UFL1,TNPO3,TFIP11,PRDX5,ARMC8,NELFB,UPF2,APPL1,VPS33B,AKAP8L,PALD1,BZW2,FHOD1,GMPPA,TNPO2,AK3,NDUFA13,COMMD2,MRTO4,NT5C3A,HOOK1,SNX9,STK26,MIOS,MTMR12,PAF1,ALKBH4,ANKHD1,DNAAF5,SSH3,ANKZF1,LRRC8D,RIF1,EXD2,AMBRA1,OSGEP,AGK,FGD6,CAND1,PDXP,SCYL1,XPO5,CASKIN2,CAMSAP3,SRPRB,SNX6,NAA35,VIPAS39,AHNAK,SPATA5L1,NAA16,ACTR5,NAA15,DIAPH3,DDX59,EPPK1,POLDIP3,GINS4,TUBB6,GTPBP3,LRSAM1,ARHGAP18,TP53RK,NT5C3B,NEK7,DTX3L,MLKL,TUBB,FOXK1,CHAMP1,SULT1A4,ACACB,ACADSB,ALDH1B1,ALDH7A1,AUH,CYC1,DLAT,ETFA,ETFB,HMGCL,MPST,NCBP1,NDUFA9,NDUFB4,NDUFS1,NDUFS3,NDUFV1,NDUFV2,P4HA1,PCCA,PCCB,PDK3,SPG7,SUPV3L1,TST,DAP3,CLPP,NIPSNAP1,SUCLG2,GTF3C4,MRPL19,LRPPRC,TRAP1,MICU1,MRPL28,MTHFD2,CLPX,AFG3L2,TDRKH,MTCH2,MPC2,FAM162A,MRPS28,NDUFAF4,MRPL15,MRPL22,NENF,SLC25A24,MRPS16,YARS2,MRPL4,MRPL48,CYB5R1,TEX10,PTCD3,MRPS10,ATAD3A,UQCC1,NDUFAF7,VPS35,TOMM22,MAVS,ELAC2,TFB2M,MRPL14,MRPS9,MRPL38,MRPL11,MRPL9,MRPL44,MRPS34,MRPL24,TMEM126A,MRPL43,GTPBP10,EARS2,GSTK1,TIMM23,CYB5A,NDUFA6,NDUFB10,STOML2,MRPS7,MRPL1,COQ5,FKBP10,PPA2,ETNPPL,GPT2,RAB27A,VPS16,SLC3A2,DNAJC13,HPS6,TFRC,RAB11B,GIGYF2,GAPVD1,CCDC22,CCDC120,LMTK2,MST1R,TBC1D17,ACAA1,PMVK,LONP2,CANX,SERPINH1,CLGN,PLOD1,POU2F1,RRBP1,SOAT1,SRP68,SSR1,STIM1,HSP90B1,PXDN,DPM1,PLOD3,ZW10,PDIA6,CRTAP,HYOU1,PRDX4,PNPLA6,ERP29,CKAP4,SEC63,MAN1B1,PDXDC1,ESYT1,SUMF2,ATL3,USP25,DNAJC10,TMEM214,UGGT2,USE1,UGGT1,CCDC47,ERGIC1,RINT1,YTHDC2,CCDC134,ULBP2,DHRS1,IKBIP,COL12A1,LAMB1,LAMC1,GPX8,EPHX1,LSS,POR,SLC9A6,NUP210,RAB3GAP2,OSBPL3,HSD17B12,TMX3,GRAMD1B,TRAPPC12,KLF5,KIFC3,SCLY,TBC1D23,UNC45A,QSOX2,AGRN,AP4B1,FAM91A1,ANLN,ACACA,ADSL,AP2A2,DUSP3,TYMP,XRCC6,ILK,ITGAV,KPNA3,MAP4,MTR,NBN,RPL10A,NNMT,PGD,POLD1,POLR2E,PPP2R5D,PRKDC,PSMC4,PSMD5,PSMD8,PSMD11,PSMD13,PTPRS,RPL31,RPLP1,RPLP2,RPS13,RPS16,RPS18,RPS20,RRM1,RSU1,MAP2K4,SPTAN1,AURKA,TLN1,TOP2B,UGDH,CUL5,KDM5C,SMC1A,MAD1L1,CUL4B,CUL1,TTF2,SMARCA5,SMC3,PRPF3,TRIP12,GGPS1,RASAL2,RNF40,NUBP2,NAMPT,STAG1,NDC80,STAG2,TUBGCP2,MAGED2,KIF2C,POLR3A,KAT7,AKAP13,PDS5B,RRP1B,NCDN,EFR3A,PSME4,PDS5A,HAUS5,NCAPH,PES1,POLA2,NIPBL,CNOT10,HEATR5A,UBXN7,NOC2L,PHGDH,TUBGCP4,ARHGEF16,EIF3K,UBE2S,SNX8,DERA,COPS4,UBR5,DDX41,LARP7,NUB1,MAP1S,MOB1A,ARHGEF40,POLR3B,NUP133,ECHDC1,CTNNBL1,PNO1,THADA,NXN,AKTIP,SMYD3,EPS8L2,AACS,NUP85,FBXL18,TTI2,CMIP,SLFN11,PAXBP1,PLCD3,FMNL2,CD109,DENND5B,MMS22L,FRYL,TARDBP,RPL7L1,FRG1,NPTX1,SCFD2,EMC3,EMC7,ARFGEF3,SNX24,SCRIB,PTPRJ,STK10,INF2,HECTD3,LAS1L,YPEL5,COMMD3",2.5830910322471e-32,2.06647282579768e-31,TRUE
"2","Intracellular vesicle","SNF8,VPS51,VPS53,RACGAP1,CDK2,EGFR,PI4KB,SNX1,SNX2,TFRC,RAB11B,VPS4B,PDCD6,GIGYF2,APPL1,GAPVD1,CCDC22,VPS35,SNX6,VPS16,CCDC120,HTT,PHB,PRDX3,LMTK2,VIPAS39,DTX3L,RAB27A,VPS33B,EXOC8,SCFD1,STK26,COPS4,TMED9,ARHGAP1,ATP6AP2,NCDN,DNAJC13,LMAN1,TMED10,AP1G1,AP1S1,AP2A2,COPZ1,COPG1,COPG2,SCYL1,SAR1A,NPTX1,ERP29,CHP1,GOLGA2,ERGIC1,SNX9,USE1,MYO6,HEATR5A,SCFD2,PTPRS,ARFGEF3,KIFC3,AP1S2,SNX24,ARHGAP21,DIAPH1,IQGAP1,EXOC3,DNM1L,CYB5R1,TMX3,CD109,MAGED2,PSMC5,ARFGEF2,MAN1B1,PRDX5,UQCC1,TBC1D23,FAM91A1,SNX4,SLC9A6,SNX8,HPS6,ANXA6,AP4B1,AGL,XRCC6,HSP90AB1,PSMA5,PSMC3,PSMD11,PSMD12,PSMD13,PYGL,ROCK1,SRP14,HUWE1,PRDX4,DERA,CAND1,CKAP4,CYB5R3,PYGB,PRDX6,TUBB4B,TUBB,ITGAV,PTPRJ,STK10,ACAA1,KPNB1,SPTAN1,ARMC8,CANX,SLC3A2,HSP90B1,PDIA6,GNA13,MTOR,VIM,AMBRA1,TUBGCP4,TBC1D17,HYOU1,DSP,YPEL5,COMMD3,TRAPPC5",1.588860054892e-06,1.1122020384244e-05,TRUE
"3","Recycling Endosome","AP1G1,VPS51,TFRC,RAB11B,SLC9A6,ARFGEF2,SNF8,LMTK2,VPS33B,TUBGCP4,VPS53,VIPAS39,VPS16,TBC1D17",0.00364521298330712,0.0218712778998427,TRUE
"4","Early Endosome","HTT,PHB,TFRC,PRDX3,LMTK2,APPL1,VPS35,VIPAS39,VPS16,DTX3L,EGFR,SNX1,SNX2,SNX4,SLC9A6,DNAJC13,VPS33B,SNX8,SNX6,HPS6",0.0325734012188179,0.16286700609409,TRUE
"5","Lysosome","MTOR,RAB27A,SNX1,SNX2,ATP6AP2,VPS33B,VPS35,VPS16,DTX3L,AP1G1,ANXA6,AP1S1,HSP90AB1,MYO6,SLC3A2,AP1S2,DNAJC13,MIOS,AHNAK,HPS6,CKAP4,CYB5R3,PYGB,PRDX6,TUBB4B,TUBB,AP2A2,AGRN",0.230760273474914,0.849638580154001,FALSE
"6","Late Endosome","HTT,RAB27A,VPS33B,VPS35,VIPAS39,VPS16,EXOC8,ANXA6,VPS4B,SNF8,EGFR",0.285298408357345,0.849638580154001,FALSE
"7","Endolysosome","AP2A2",0.2124096450385,0.849638580154001,FALSE
"8","Plasma membrane","DSP,PPL,PKP3,DUSP3,MYH9,PTPRJ,SCRIB,STOML2,GNA13,AP2A2,ANXA4,CLIC1,CPD,CSNK1G3,DAPK1,DIAPH1,EGFR,EIF2B1,HDLBP,HSP90AB1,ILK,ITGAV,LYN,MAP4,MMP15,MST1R,MYO6,NPTX1,PHB,PLEC,PON2,PTPRF,PTPRS,ROCK1,SLC3A2,STIM1,STK10,SURF2,TFRC,TLN1,UTRN,VIM,SYMPK,CUL3,CUL1,SNX4,MTMR1,SUCLG2,IQGAP1,VAPB,AKAP12,CKAP5,PDIA6,ATP6AP2,LYPLA1,SLC9A6,CKAP4,TMED10,CHP1,SNF8,PARK7,NID2,CLASP2,EFR3A,PDS5A,SCFD1,EXOC7,DNAJC13,RAB3GAP2,SAMHD1,OSBPL3,APPL1,GAPVD1,SNX9,CYB5R1,TMX3,EXOC6,PTCD3,LRRC8D,RIF1,OSGEP,ARHGEF40,USE1,LRRC8A,PDXP,GRAMD1B,ARHGAP21,NAA35,AKTIP,WDR13,EPS8L2,MRPL44,DDX50,AHNAK,ULBP2,COG3,ARHGAP18,PLCD3,CD109,EXOC8,SCFD2,QSOX2,MLKL,AGRN,MAEA,LMTK2,PLXNB2,AP1S1,AP1S2,DNM1L,IKBKB,EPPK1,RAB27A,MTCL1,STK26,NUMA1,SPTBN1,FER,ESYT1,RACGAP1,CFL1,MYH10,EXOC3,STRN,SYNE1,NIPSNAP1",0.999999999997928,0.999999999997928,FALSE
