"","compartment","symbol","p","FDR","FDR < 0.05"
"1","Cytoplasm","LLGL1,ARCN1,CLCN3,COPA,CD55,GALNT1,GALNT2,GNAI3,HLA-A,HLA-B,RAB8A,NOTCH2,PRKCI,RAB1A,RAB2A,RAC1,RHEB,AP3D1,COPB2,SNAP29,COG1,SEC24C,SEC24D,ABCB6,RTN3,SEC24B,SEC23B,SEC23A,SEC24A,RAB10,SEC23IP,RRAS2,FNDC3A,SEC31A,SACM1L,ERC1,ATP2C1,DBNL,AGTRAP,LPCAT1,ARFGAP2,B4GALNT2,AP1S3,SLC35B2,EXOC4,EXOSC9,EXOSC8,DIS3,EXOSC4,ATP6V0A1,TCIRG1,PAFAH1B1,TRAPPC8,RPN2,TEX264,ATG16L1,WDR81,DERL2,DDX6,CAPRIN1,MOV10,UPF1,PUM1,LSM14A,AGO2,TNRC6A,YTHDF2,XRN1,EIF4ENIF1,DIS3L2,AGO3,DNAJC11,TCP1,SPAG9,CD46,MCCC2,ACTB,ACTN4,ACTN1,ADAR,ABCD1,ANXA7,ANXA11,BIRC2,XIAP,ASS1,BUB1B,CAD,CAPG,CBS,CDK6,TBCB,CRABP2,CSRP1,CTH,CTNND1,DAB2,DDB1,DDX1,NQO1,DYNC1I2,DRG2,EEF1A1,EEF1B2,EEF1D,EIF2S3,EIF4G1,EIF5,EIF5A,EMD,CTTN,FGFR2,FKBP4,GAMT,GMDS,GNAI1,GNAI2,GNB2,GRSF1,GSTM3,HDAC1,HDAC2,HDGF,HINT1,HMBS,HNRNPL,PRMT1,IDE,IFIT3,IGBP1,ILF3,IMPA1,IMPDH1,IMPDH2,JAK1,KPNA1,KRAS,LASP1,LBR,LGALS3,LIG3,LLGL2,LMO7,MAD2L1,SMAD4,MSN,MYO1E,PPP1R12A,NASP,NEDD4,NF1,NFKBIA,YBX1,OCRL,PRDX1,PEX6,PFN1,PFN2,PGM1,SERPINB6,PIK3C2A,PKM,PLCG1,PPP2R1A,MAPK1,PSMB5,PSMB6,PSME1,PSME2,PSPH,PTPN11,PTPN12,QDPR,RABGGTA,RAF1,RAN,RASA1,RECQL,ABCE1,RPL3,RPL5,RPS11,RPS27A,S100A11,ATXN2,SH3GL1,SHMT1,FSCN1,SRI,SSB,ST13,SVIL,TIAL1,TJP1,TPT1,TRIP6,DNAJC7,TTC4,TXNRD1,UBA1,UGP2,USP4,VBP1,EZR,YWHAH,ZNF185,ZNF207,ZYX,ARHGEF5,MLF2,GAN,TAF15,NAA10,CDC45,RAE1,RANBP3,PKP4,HAT1,CASK,CDC23,FPGT,CDC123,FUBP1,ZPR1,NAE1,CPNE3,CPNE1,AIP,USP10,MTMR6,PDLIM1,PDCD5,ARHGEF2,PLAA,GSTO1,MAP4K4,BCAR1,ISG15,BCLAF1,KEAP1,LCMT2,SETDB1,SMG7,G3BP2,RBM8A,USP15,MVP,GNPDA1,SRA1,HDAC6,ACTR3,G3BP1,PRMT3,DCAF7,LANCL1,PRMT5,RBM14,CAP1,CARM1,NCOA2,DCTN2,CCT7,PAIP1,TRIM16,CELF1,RRAGA,NUDC,AHCYL1,HSPH1,FERMT2,DSTN,STRAP,WDR6,PACSIN2,MORC2,PTGR1,LIMCH1,CLUH,UBR2,VPS39,OBSL1,SIK3,TDRD7,RBFOX2,SH3BP4,PPIL2,PTPN23,KANK2,IBTK,SERBP1,FBXO2,PABPC1,DNAJC2,SND1,PRPF19,EML4,TBK1,OLA1,UBQLN1,MINK1,GEMIN4,DCAF8,EMC9,NMD3,HSD17B11,HERC5,TAOK3,ISYNA1,RTCB,ERAP1,PELO,EGLN1,YTHDF1,ELP3,MSTO1,CEP55,SMU1,ELP2,WDR41,FOXRED1,CDV3,BMP2K,DDX60,FERMT1,WDR11,IFT122,PCID2,KIAA1217,BDH2,SH3GLB2,CIAPIN1,PITHD1,WDR18,RPTOR,DIP2B,EEFSEC,MLST8,WDR77,GSTCD,DOCK5,MYO19,CDK5RAP3,WDR61,ITCH,EIF2A,SETD3,HPS3,ABHD14B,AIFM2,PNPT1,DTX2,AGAP3,TDRD9,RAVER1,SLC30A7,RDH10,DHX36,LRWD1,EML3,ADH5,SLC25A5,ARAF,BCS1L,COX15,CPT1A,SLC25A10,DLD,STOM,GLDC,SFN,GSR,HSPA4,FADS1,ME1,MTHFD1,OGDH,SLC25A3,ABCD3,SDHA,VDAC3,AKAP1,AP3B1,NAPG,SUCLA2,AIFM1,TBRG4,PGS1,MRPS30,RAB32,AKAP10,ACOT7,FASTKD2,KIF1B,PMPCA,NNT,DDAH2,ACOT9,MTHFD1L,COQ6,MRPL16,SLC35F6,MTPAP,AGPAT5,IARS2,HSDL1,ATPAF2,MALSU1,THEM4,PDE12,CKMT1A,ABCB7,ABCB10,TAMM41,CLTC,CTSD,HGS,VPS11,VPS18,AP2M1,SLC12A4,SLC7A5,FLOT1,ATP11A,SEH1L,DAGLB,ATP11C,ATP1A1,RAB13,ARPC2,RABEPK,RAB24,SNX27,HMGB1,PICALM,TM9SF4,SNX12,RHOD,PIK3R4,VTA1,TKT,GNPAT,HACL1,SLC27A2,ATP2A2,DHCR7,PTPN2,RPL36AL,RPS8,RPS23,TAP1,TAP2,TECR,SYNCRIP,EBP,SLC27A4,ERLIN2,UBXN4,TRAM1,METTL7A,TBL2,CERS2,NSDHL,HSD17B7,ALG1,RTN4,ELOVL5,ELOVL1,MBOAT7,ERMP1,MAGT1,HACD2,SEC61A1,SPCS2,GANAB,PIGK,ILVBL,EMC1,PIGT,ATP13A1,TMX1,OSBPL8,TMEM41B,FASN,INPPL1,YES1,PREPL,STIP1,MAPRE1,WDR44,TRAPPC11,DDX54,SLC35E1,SYAP1,ABCC5,BCL9,CLTB,ABCF1,ADD3,AHCY,ALDOA,ALDOC,AKR1B1,RHOC,ASNS,BCR,BUB1,CAPZA1,CBR1,CDA,CKB,CRKL,DFFA,EIF2S1,EIF4B,EPB41L2,GART,GSPT1,HEXA,HNRNPF,AGFG1,DNAJB2,IL18,LPP,LTA4H,MCM5,MDH1,MTAP,PEBP1,PCNT,PFKM,PLCB3,PPAT,PPP2R2A,PSMD3,PXN,RPL8,RPL9,RPL15,RPL18A,RPL28,RPL35A,RRM2,S100A8,SKIV2L,SLC12A2,SLC12A3,SORD,UAP1,SPR,STAT2,TAF4,UBE2H,UBE3A,VCL,EIF4H,TRIM25,ZMYM2,NUP214,CCDC6,TAGLN2,EIF3B,EIF3D,EIF3H,EIF3I,EIF3J,SYNJ1,MAP7,BUB3,SNRNP40,TJP2,CLOCK,GDA,PPP6R2,KNTC1,HELZ,WDR1,NUP153,SMC4,SNUPN,ARPC1B,FARP1,TAB1,ARPC1A,CCT4,PDLIM5,PTGES3,HBS1L,WDR4,NCKAP1,SUGT1,ASCC3,CLP1,RAB35,NUDT5,HPS5,ATXN2L,PDAP1,CCT5,NT5C2,PALLD,CYFIP1,NUP160,ANKS1A,CAPN7,AHCTF1,THUMPD3,HERC4,DAZAP1,OPLAH,CACYBP,PDLIM3,STK39,MAT2B,PHPT1,DROSHA,RRM2B,IPO11,EIF3L,LIMA1,DTL,RAPGEF6,PRMT7,ELP6,PGM2,KIF21A,NXT2,RCC2,BAIAP2L1,SMG9,YLPM1,ZC3HAV1,PSMG2,NUP107,EPB41L5,CHTF18,ANAPC1,TNS3,GGCT,NUP37,FN3KRP,MCMBP,WWC2,POLR1B,MRI1,DCTN5,TXNDC17,NUDCD1,PHLDB2,DPP9,TRIM47,NEK9,DNAJC21,TIPRL,WDR62,EIF2AK4,CORO1C,KIF13A,DDX19A,ATP2B4,MYPN,AP4E1,ABCA3,ROR2,RDX,ANP32E,HNRNPU,TMEM38B,SERPINB1,CNN2,DMXL1,ITGA3,CCAR1",7.78137866964418e-56,6.22510293571534e-55,TRUE
"2","Intracellular vesicle","TCP1,SPAG9,CD46,ATP1A1,CLTC,JAK1,RAB8A,PRKCI,RAB13,EZR,HGS,ABCB6,ARPC2,FLOT1,RABEPK,RAB10,PACSIN2,PTPN23,RAB24,VPS11,VPS18,SNX27,CLCN3,HMGB1,OCRL,MAPK1,RAB1A,PICALM,USP10,TM9SF4,RAB32,ATP11A,DBNL,SNX12,RHOD,DERL2,ITCH,TCIRG1,PIK3R4,TPT1,HDAC6,VTA1,KIF1B,ATP6V0A1,CTSD,RPS27A,UBA1,AP3D1,ABCC5,TAB1,RAB35,CORO1C,TBK1,WDR44,KIF13A,HLA-A,HLA-B,SEC24C,SEC24D,SEC24B,SEC23A,SEC24A,SEC23IP,SEC31A,AP2M1,CLTB,ARCN1,COPA,COPB2,SEC23B,CD55,DAB2,PIK3C2A,SH3BP4,RAPGEF6,ABCA3,SLC12A2,AGTRAP,AP1S3,AP3B1,LGALS3,SERPINB6,RAC1,ROR2,TAP1,TAP2,ACTN4,ACTN1,ALDOA,OLA1,TEX264,WDR81,RHOC,FGFR2,AGFG1,ARHGEF2,EBP,TRAPPC8,UBQLN1,WDR11,ANP32E,SLC30A7,LLGL1,SH3GL1,RCC2,VPS39,AP4E1,RRAGA,ALDOC,CDA,EEF1A1,SERPINB1,IMPDH1,IMPDH2,PKM,PSMD3,S100A8,S100A11,VCL,MVP,CYFIP1,PGM2,STOM,CPNE3,CPNE1,SNAP29,LPCAT1,MAGT1,CAP1,SLC27A2,CNN2,AHCY,ANXA11,CAPG,FASN,PRDX1,RAB2A,RAN,CCT4,GANAB,SND1,HEXA,ANXA7,SRI,GNAI3,DLD,MYO1E,ZYX,ATP11C,HSPH1,PITHD1,LTA4H,PGM1,METTL7A,PDAP1",1.87049049675622e-10,1.30934334772935e-09,TRUE
"3","Lysosome","ASS1,CLTC,CTSD,OCRL,TIAL1,USP4,HGS,RRAGA,VPS11,RPTOR,VPS18,ABCD1,ATP6V0A1,AP2M1,CLCN3,DAB2,GNAI1,GNAI3,GNB2,RAB2A,RHEB,SLC12A4,UBA1,SLC7A5,AP3B1,NAPG,AP3D1,SPAG9,FLOT1,TCIRG1,ATP11A,VPS39,SLC35F6,WDR41,WDR11,SEH1L,WDR81,AP1S3,DAGLB,ATP11C,STOM,CPNE3,CPNE1,SNAP29,LPCAT1,MAGT1,IMPDH1,MAPK1,CAP1,ANXA11,HEXA,AKR1B1,EEF1A1",2.0667450060265e-06,1.2400470036159e-05,TRUE
"4","Early Endosome","CLCN3,HMGB1,OCRL,MAPK1,RAB1A,PICALM,USP10,HGS,TM9SF4,FLOT1,RAB32,PACSIN2,ATP11A,PTPN23,DBNL,SNX12,RHOD,DERL2,VPS11,VPS18,SNX27,ITCH,HLA-A,HLA-B,LLGL1,SH3GL1,RCC2,WDR81",0.000553880052116741,0.0027694002605837,TRUE
"5","Recycling Endosome","CLCN3,RAB13,RAN,RAB10,ATP11A,ATP11C,HLA-A,HLA-B,RAB8A,RAC1,RAB35,PACSIN2",0.0393173444360993,0.157269377744397,TRUE
"6","Endolysosome","AP2M1,CLTC",0.0674326084516312,0.202297825354893,FALSE
"7","Late Endosome","CLCN3,MAPK1,TCIRG1,PIK3R4,DERL2,VPS11,VPS18,TPT1,HDAC6,VTA1,VPS39,WDR81,HGS",0.202720271681802,0.405440543363603,FALSE
"8","Plasma membrane","DSG2,PKP4,ATP2B1,LGALS3,EZR,SNX27,GNAI1,GNAI2,GNAI3,GNB2,ABCA3,ACTB,ACTN1,ADD3,RHOC,ATP1A1,ATP2B4,ATP6V0A1,AP2M1,CLCN3,CLTB,CLTC,CTNND1,DAB2,CD55,DFFA,EEF1A1,EIF5,CTTN,SLC29A1,EPB41L2,STOM,FASN,FGFR2,GLDC,HINT1,HLA-A,HLA-B,HNRNPF,IGF1R,INPPL1,ITGA3,KRAS,LLGL2,LLGL1,LPP,CD46,RAB8A,MSN,MYO1E,PPP1R12A,NEDD4,NFKBIA,NOTCH2,ROR2,OCRL,PCDH1,SERPINB6,PIK3C2A,PLCG1,PRKCI,MAPK1,PTPN2,PXN,RAB13,RABGGTA,RAC1,RAF1,RASA1,RDX,RHEB,RNPEP,RPL36AL,RPS27A,S100A8,SLC12A2,SLC12A3,SLC12A4,UAP1,STAT2,SVIL,TJP1,TRIP6,USP4,YES1,YWHAH,ZYX,ARHGEF5,SLC7A5,PICALM,CASK,NAE1,CPNE3,CPNE1,AIP,SNAP29,TJP2,BCAR1,KNTC1,TCAF1,WDR1,USP15,SRA1,ABCC5,ABCB6,FLOT1,TCIRG1,RTN3,LANCL1,CAP1,TRIM16,SLC12A7,RAB10,FERMT2,SLC27A4,SLC27A2,RAB35,ERLIN2,WDR6,AKAP10,PACSIN2,PDAP1,RRAS2,PALLD,ATP11A,PPIL2,SERBP1,ATP2C1,DBNL,PHPT1,UBQLN1,RHOD,TAOK3,LIMA1,RAPGEF6,ERAP1,RAB24,XRN1,CEP55,CDV3,KIF21A,RCC2,BAIAP2L1,AGTRAP,RTN4,EPB41L5,EXOC4,LPCAT1,DOCK5,ITCH,MAGT1,ARFGAP2,MYPN,AIFM2,PHLDB2,THEM4,DAGLB,ATP11C,SLC25A5,ATP2A2,SLC25A3,EBP,HDAC6,SH3BP4,AP1S3,GSR,IDE,BIRC2,GNB1L,MAP7,STK39,LMO7,PFKM,AHCYL1,PPP2R1A,CORO1C,SYNJ1,SRI,ADAM9,FARP1,SYAP1,FSCN1,MAPRE1,NCKAP1,MTMR6,ARHGEF2,FERMT1,HMGB1,ARPC2,VCL,ERC1,CRKL",0.997146855624025,0.997146855624025,FALSE
